zone,hour,cluster,count
151,23,MON,3581
151,0,MON,3223
15621,1,MON,1396
15621,2,MON,1205
15621,3,MON,1285
15621,4,MON,1406
15621,5,MON,1580
15621,6,MON,1629
15621,7,MON,1656
15621,8,MON,1737
15621,9,MON,1786
15621,10,MON,1789
15621,11,MON,1782
15621,12,MON,1764
15621,13,MON,1737
15621,14,MON,1817
15621,15,MON,1894
15621,16,MON,1897
15621,17,MON,1833
15621,18,MON,1836
15621,19,MON,1830
15621,20,MON,1786
15621,21,MON,1680
15621,22,MON,1631
15621,23,MON,1553
15621,0,MON,1534
15622,1,MON,1396
15622,2,MON,1231
15622,3,MON,1247
15622,4,MON,1400
15622,5,MON,1509
15622,6,MON,1752
15622,7,MON,1964
15622,8,MON,2145
15622,9,MON,2243
15622,10,MON,2300
15622,11,MON,2271
15622,12,MON,2212
15622,13,MON,2231
15622,14,MON,2273
15622,15,MON,2319
15622,16,MON,2235
15622,17,MON,2074
15622,18,MON,2013
15622,19,MON,1918
15622,20,MON,1884
15622,21,MON,1817
15622,22,MON,1688
15622,23,MON,1593
15622,0,MON,1543
15629,1,MON,2618
15629,2,MON,2272
15629,3,MON,2362
15629,4,MON,2632
15629,5,MON,2792
15629,6,MON,2745
15629,7,MON,2572
15629,8,MON,2418
15629,9,MON,2363
15629,10,MON,2464
15629,11,MON,2404
15629,12,MON,2397
15629,13,MON,2344
15629,14,MON,2345
15629,15,MON,2352
15629,16,MON,2446
15629,17,MON,2618
15629,18,MON,2849
15629,19,MON,3025
15629,20,MON,3061
15629,21,MON,3069
15629,22,MON,2949
15629,23,MON,2907
15629,0,MON,2840
15630,1,MON,1706
15630,2,MON,1520
15630,3,MON,1550
15630,4,MON,1775
15630,5,MON,2004
15630,6,MON,2295
15630,7,MON,2421
15630,8,MON,2483
15630,9,MON,2485
15630,10,MON,2511
15630,11,MON,2568
15630,12,MON,2604
15630,13,MON,2538
15630,14,MON,2500
15630,15,MON,2537
15630,16,MON,2608
15630,17,MON,2556
15630,18,MON,2477
15630,19,MON,2454
15630,20,MON,2398
15630,21,MON,2259
15630,22,MON,2080
15630,23,MON,1989
15630,0,MON,1926
15635,1,MON,700
15635,2,MON,588
15635,3,MON,645
15635,4,MON,727
15635,5,MON,848
15635,6,MON,955
15635,7,MON,972
15635,8,MON,874
15635,9,MON,846
15635,10,MON,814
15635,11,MON,804
